#index     element name    cell    girder    dX    dY    dS    dRoll   dPitch   dYaw
150    CXMG4C01A    4    1    -2.85e-06    -2.96e-06    0.00e+00    -8.53e-07    0.00e+00    0.00e+00
151    CYMG4C01A    4    1    -4.52e-06    -4.58e-07    0.00e+00    -1.15e-06    0.00e+00    0.00e+00
153    QM1G4C01A    4    1    -6.25e-07    -2.06e-06    0.00e+00    -4.33e-07    0.00e+00    0.00e+00
155    SM1G4C01A    4    1    8.27e-07    2.58e-06    0.00e+00    -2.36e-07    0.00e+00    0.00e+00
158    FXM1G4C01A    4    1    1.24e-06    7.28e-07    0.00e+00    -4.17e-07    0.00e+00    0.00e+00
159    FYM1G4C01A    4    1    -4.79e-06    -3.07e-06    0.00e+00    1.34e-06    0.00e+00    0.00e+00
163    QM2G4C01A    4    1    -3.82e-06    -2.70e-06    0.00e+00    3.05e-06    0.00e+00    0.00e+00
165    SM2G4C01B    4    1    -3.53e-06    -4.69e-06    0.00e+00    -4.19e-06    0.00e+00    0.00e+00
167    QM2G4C01B    4    1    4.57e-06    1.26e-06    0.00e+00    -3.52e-06    0.00e+00    0.00e+00
169    SM1G4C01B    4    1    5.53e-07    -3.80e-06    0.00e+00    4.39e-07    0.00e+00    0.00e+00
173    QM1G4C01B    4    1    -2.68e-06    4.84e-06    0.00e+00    3.88e-06    0.00e+00    0.00e+00
176    CXM1G4C01B    4    1    -1.44e-06    3.00e-06    0.00e+00    2.67e-06    0.00e+00    0.00e+00
177    CYM1G4C01B    4    1    -3.55e-06    -2.22e-06    0.00e+00    1.56e-06    0.00e+00    0.00e+00
183    B1G5C01B    5    1    4.11e-06    -2.59e-06    0.00e+00    -3.26e-07    0.00e+00    0.00e+00
188    CXH2G6C01B    6    1    -2.04e-06    1.58e-06    0.00e+00    -1.00e-06    0.00e+00    0.00e+00
189    CYH2G6C01B    6    1    2.84e-06    3.52e-06    0.00e+00    2.77e-06    0.00e+00    0.00e+00
191    SH4G6C01B    6    1    -4.27e-06    4.49e-06    0.00e+00    4.71e-06    0.00e+00    0.00e+00
195    QH3G6C01B    6    1    -4.96e-06    -6.88e-07    0.00e+00    -3.19e-06    0.00e+00    0.00e+00
197    SH3G6C01B    6    1    1.93e-06    -3.02e-06    0.00e+00    2.83e-06    0.00e+00    0.00e+00
199    QH2G6C01B    6    1    -6.83e-07    2.02e-06    0.00e+00    1.04e-06    0.00e+00    0.00e+00
202    CXH1G6C01B    6    1    3.43e-06    -1.43e-06    0.00e+00    2.87e-06    0.00e+00    0.00e+00
203    CYH1G6C01B    6    1    9.53e-07    -4.82e-06    0.00e+00    -1.86e-06    0.00e+00    0.00e+00
205    QH1G6C01B    6    1    3.45e-06    -3.22e-06    0.00e+00    -1.45e-06    0.00e+00    0.00e+00
209    SH1G6C01B    6    1    1.96e-06    4.55e-06    0.00e+00    2.42e-06    0.00e+00    0.00e+00
214    FXH1G1C02A    1    2    4.17e-06    4.02e-06    0.00e+00    -3.70e-06    0.00e+00    0.00e+00
215    FYH1G1C02A    1    2    4.74e-06    9.64e-07    0.00e+00    1.96e-06    0.00e+00    0.00e+00
219    FXH2G1C02A    1    2    1.24e-07    -2.84e-06    0.00e+00    -4.69e-07    0.00e+00    0.00e+00
220    FYH2G1C02A    1    2    3.36e-06    -4.57e-06    0.00e+00    3.36e-06    0.00e+00    0.00e+00
224    SH1G2C02A    2    2    4.11e-06    1.01e-06    0.00e+00    4.81e-06    0.00e+00    0.00e+00
228    QH1G2C02A    2    2    4.59e-06    1.33e-06    0.00e+00    -2.41e-07    0.00e+00    0.00e+00
230    SQHG2C02A    2    2    4.42e-06    3.59e-06    0.00e+00    -1.92e-06    0.00e+00    0.00e+00
231    CXHG2C02A    2    2    1.48e-06    1.70e-06    0.00e+00    2.86e-06    0.00e+00    0.00e+00
232    CYHG2C02A    2    2    4.93e-06    -3.96e-06    0.00e+00    3.15e-06    0.00e+00    0.00e+00
234    QH2G2C02A    2    2    -3.48e-06    -1.23e-06    0.00e+00    2.90e-06    0.00e+00    0.00e+00
236    SH3G2C02A    2    2    -3.80e-06    1.98e-06    0.00e+00    2.92e-06    0.00e+00    0.00e+00
238    QH3G2C02A    2    2    2.73e-06    2.41e-06    0.00e+00    -6.75e-07    0.00e+00    0.00e+00
242    SH4G2C02A    2    2    -3.08e-06    -3.83e-06    0.00e+00    -3.69e-06    0.00e+00    0.00e+00
245    CXH2G2C02A    2    2    4.78e-06    4.23e-06    0.00e+00    -4.72e-06    0.00e+00    0.00e+00
246    CYH2G2C02A    2    2    2.16e-06    -2.62e-06    0.00e+00    -1.94e-07    0.00e+00    0.00e+00
250    B1G3C02A    3    2    4.40e-06    -4.33e-07    0.00e+00    -1.10e-06    0.00e+00    0.00e+00
255    CXM1G4C02A    4    2    5.90e-07    1.20e-06    0.00e+00    -3.40e-06    0.00e+00    0.00e+00
256    CYM1G4C02A    4    2    -8.43e-07    -1.23e-06    0.00e+00    3.90e-08    0.00e+00    0.00e+00
258    QM1G4C02A    4    2    7.97e-07    -1.61e-06    0.00e+00    -3.60e-06    0.00e+00    0.00e+00
260    SM1G4C02A    4    2    -3.65e-06    -8.21e-07    0.00e+00    -1.84e-06    0.00e+00    0.00e+00
263    FXM1G4C02A    4    2    -2.23e-06    3.13e-06    0.00e+00    -3.96e-06    0.00e+00    0.00e+00
264    FYM1G4C02A    4    2    3.84e-06    3.23e-06    0.00e+00    1.90e-06    0.00e+00    0.00e+00
268    QM2G4C02A    4    2    -1.15e-06    4.40e-06    0.00e+00    -1.13e-06    0.00e+00    0.00e+00
270    SM2G4C02B    4    2    -1.08e-06    -4.28e-06    0.00e+00    -2.39e-06    0.00e+00    0.00e+00
272    QM2G4C02B    4    2    -1.17e-06    3.95e-06    0.00e+00    1.49e-06    0.00e+00    0.00e+00
274    SM1G4C02B    4    2    -1.72e-06    4.13e-06    0.00e+00    -2.87e-06    0.00e+00    0.00e+00
278    QM1G4C02B    4    2    -2.49e-06    -3.17e-06    0.00e+00    4.44e-06    0.00e+00    0.00e+00
281    CXM1G4C02B    4    2    4.76e-06    3.88e-06    0.00e+00    5.68e-09    0.00e+00    0.00e+00
282    CYM1G4C02B    4    2    7.17e-07    4.99e-06    0.00e+00    -3.41e-06    0.00e+00    0.00e+00
288    B1G5C02B    5    2    4.02e-06    1.65e-06    0.00e+00    4.32e-06    0.00e+00    0.00e+00
293    QL3G6C02B    6    2    -2.16e-06    4.73e-06    0.00e+00    -3.25e-07    0.00e+00    0.00e+00
297    SL3G6C02B    6    2    -1.99e-06    -7.27e-07    0.00e+00    -1.63e-06    0.00e+00    0.00e+00
300    CXL2G6C02B    6    2    1.87e-06    3.82e-06    0.00e+00    -2.15e-06    0.00e+00    0.00e+00
301    CYL2G6C02B    6    2    -1.09e-06    1.03e-06    0.00e+00    3.22e-06    0.00e+00    0.00e+00
303    QL2G6C02B    6    2    -4.81e-06    3.75e-06    0.00e+00    -4.37e-06    0.00e+00    0.00e+00
305    SL2G6C02B    6    2    -2.92e-06    3.73e-06    0.00e+00    2.51e-06    0.00e+00    0.00e+00
308    CXL1G6C02B    6    2    3.70e-06    4.61e-06    0.00e+00    -2.80e-06    0.00e+00    0.00e+00
309    CYL1G6C02B    6    2    -2.82e-06    -4.11e-06    0.00e+00    -1.67e-06    0.00e+00    0.00e+00
311    QL1G6C02B    6    2    -4.22e-06    -2.80e-06    0.00e+00    -7.99e-07    0.00e+00    0.00e+00
315    SL1G6C02B    6    2    2.66e-06    3.52e-06    0.00e+00    -2.44e-06    0.00e+00    0.00e+00
320    FXL1G1C03A    1    3    -3.41e-07    -2.54e-06    0.00e+00    -5.75e-08    0.00e+00    0.00e+00
321    FYL1G1C03A    1    3    3.76e-06    -4.51e-07    0.00e+00    -1.47e-06    0.00e+00    0.00e+00
329    FXL2G1C03A    1    3    -2.29e-06    3.25e-06    0.00e+00    -2.46e-06    0.00e+00    0.00e+00
330    FYL2G1C03A    1    3    -2.90e-06    4.49e-06    0.00e+00    -1.26e-06    0.00e+00    0.00e+00
334    SL1G2C03A    2    3    2.14e-06    2.48e-06    0.00e+00    -3.52e-06    0.00e+00    0.00e+00
338    QL1G2C03A    2    3    -3.43e-06    3.26e-06    0.00e+00    -4.10e-06    0.00e+00    0.00e+00
341    CXL1G2C03A    2    3    4.97e-06    4.15e-06    0.00e+00    -2.03e-06    0.00e+00    0.00e+00
342    CYL1G2C03A    2    3    -2.69e-06    2.07e-06    0.00e+00    6.21e-07    0.00e+00    0.00e+00
344    SL2G2C03A    2    3    -2.20e-06    -3.59e-06    0.00e+00    3.42e-06    0.00e+00    0.00e+00
346    QL2G2C03A    2    3    3.14e-06    3.42e-06    0.00e+00    4.79e-06    0.00e+00    0.00e+00
349    CXL2G2C03A    2    3    4.57e-06    -1.16e-06    0.00e+00    -2.36e-06    0.00e+00    0.00e+00
350    CYL2G2C03A    2    3    4.42e-07    -3.33e-07    0.00e+00    2.16e-06    0.00e+00    0.00e+00
352    SL3G2C03A    2    3    2.65e-06    1.75e-06    0.00e+00    -3.22e-06    0.00e+00    0.00e+00
356    QL3G2C03A    2    3    -1.45e-06    2.62e-06    0.00e+00    -4.89e-06    0.00e+00    0.00e+00
361    B1G3C03A    3    3    -1.78e-06    1.51e-06    0.00e+00    1.95e-06    0.00e+00    0.00e+00
365    SQMG4C03A    4    3    2.64e-06    -2.28e-06    0.00e+00    -2.76e-08    0.00e+00    0.00e+00
366    CXMG4C03A    4    3    1.02e-06    -1.12e-06    0.00e+00    2.75e-06    0.00e+00    0.00e+00
367    CYMG4C03A    4    3    3.37e-06    4.01e-07    0.00e+00    4.53e-06    0.00e+00    0.00e+00
369    QM1G4C03A    4    3    1.65e-06    4.09e-06    0.00e+00    4.04e-07    0.00e+00    0.00e+00
371    SM1G4C03A    4    3    3.68e-07    4.18e-06    0.00e+00    -4.26e-06    0.00e+00    0.00e+00
374    FXM1G4C03A    4    3    -3.48e-06    -2.95e-06    0.00e+00    -2.31e-06    0.00e+00    0.00e+00
375    FYM1G4C03A    4    3    1.27e-06    3.67e-06    0.00e+00    4.21e-06    0.00e+00    0.00e+00
379    QM2G4C03A    4    3    2.60e-06    -3.96e-06    0.00e+00    -2.37e-07    0.00e+00    0.00e+00
381    SM2G4C03B    4    3    -4.24e-06    -9.37e-07    0.00e+00    -2.73e-06    0.00e+00    0.00e+00
383    QM2G4C03B    4    3    -2.42e-06    -3.84e-07    0.00e+00    -2.61e-06    0.00e+00    0.00e+00
385    SM1G4C03B    4    3    1.24e-06    2.25e-06    0.00e+00    -2.95e-06    0.00e+00    0.00e+00
389    QM1G4C03B    4    3    -3.42e-07    -1.28e-06    0.00e+00    -3.05e-06    0.00e+00    0.00e+00
392    CXM1G4C03B    4    3    3.60e-06    1.74e-06    0.00e+00    -3.40e-06    0.00e+00    0.00e+00
393    CYM1G4C03B    4    3    3.94e-06    3.86e-06    0.00e+00    2.09e-06    0.00e+00    0.00e+00
399    B1G5C03B    5    3    3.40e-06    -4.82e-06    0.00e+00    4.13e-06    0.00e+00    0.00e+00
404    CXH2G6C03B    6    3    2.07e-06    8.62e-07    0.00e+00    2.88e-06    0.00e+00    0.00e+00
405    CYH2G6C03B    6    3    -3.17e-06    6.95e-08    0.00e+00    -4.07e-06    0.00e+00    0.00e+00
407    SH4G6C03B    6    3    1.19e-06    8.93e-07    0.00e+00    4.90e-06    0.00e+00    0.00e+00
411    QH3G6C03B    6    3    -1.32e-06    -6.90e-07    0.00e+00    5.66e-08    0.00e+00    0.00e+00
413    SH3G6C03B    6    3    4.65e-06    -2.84e-06    0.00e+00    -1.57e-06    0.00e+00    0.00e+00
415    QH2G6C03B    6    3    -3.66e-06    -6.69e-07    0.00e+00    3.77e-06    0.00e+00    0.00e+00
418    CXH1G6C03B    6    3    4.68e-07    1.56e-06    0.00e+00    -3.14e-06    0.00e+00    0.00e+00
419    CYH1G6C03B    6    3    1.80e-06    -2.46e-06    0.00e+00    2.29e-06    0.00e+00    0.00e+00
421    QH1G6C03B    6    3    6.30e-07    3.02e-06    0.00e+00    -4.66e-06    0.00e+00    0.00e+00
425    SH1G6C03B    6    3    3.54e-06    2.58e-06    0.00e+00    6.65e-07    0.00e+00    0.00e+00
430    FXH1G1C04A    1    4    -2.47e-06    -2.61e-08    0.00e+00    -4.15e-06    0.00e+00    0.00e+00
431    FYH1G1C04A    1    4    6.68e-07    2.76e-06    0.00e+00    -4.10e-06    0.00e+00    0.00e+00
435    FXH2G1C04A    1    4    4.29e-06    6.02e-07    0.00e+00    7.29e-07    0.00e+00    0.00e+00
436    FYH2G1C04A    1    4    -3.26e-06    -3.97e-06    0.00e+00    -1.43e-06    0.00e+00    0.00e+00
440    SH1G2C04A    2    4    -3.77e-06    1.01e-07    0.00e+00    -1.09e-06    0.00e+00    0.00e+00
444    QH1G2C04A    2    4    4.87e-06    2.26e-06    0.00e+00    2.17e-06    0.00e+00    0.00e+00
446    SQHG2C04A    2    4    -2.07e-06    4.87e-06    0.00e+00    -2.55e-06    0.00e+00    0.00e+00
447    CXHG2C04A    2    4    -2.23e-06    -4.48e-06    0.00e+00    5.30e-07    0.00e+00    0.00e+00
448    CYHG2C04A    2    4    2.64e-06    9.07e-07    0.00e+00    -2.09e-06    0.00e+00    0.00e+00
450    QH2G2C04A    2    4    4.13e-10    -3.02e-06    0.00e+00    1.25e-06    0.00e+00    0.00e+00
452    SH3G2C04A    2    4    -5.84e-08    9.05e-08    0.00e+00    -4.86e-06    0.00e+00    0.00e+00
454    QH3G2C04A    2    4    3.74e-06    4.40e-06    0.00e+00    1.36e-06    0.00e+00    0.00e+00
458    SH4G2C04A    2    4    -4.83e-06    -4.36e-07    0.00e+00    3.30e-06    0.00e+00    0.00e+00
461    CXH2G2C04A    2    4    -6.73e-07    2.23e-07    0.00e+00    -2.37e-06    0.00e+00    0.00e+00
462    CYH2G2C04A    2    4    -3.46e-06    -4.29e-06    0.00e+00    -1.44e-06    0.00e+00    0.00e+00
466    B1G3C04A    3    4    4.88e-06    7.73e-07    0.00e+00    1.25e-06    0.00e+00    0.00e+00
471    CXM1G4C04A    4    4    -4.76e-06    -4.35e-06    0.00e+00    -1.96e-06    0.00e+00    0.00e+00
472    CYM1G4C04A    4    4    2.43e-06    -3.26e-06    0.00e+00    -3.25e-06    0.00e+00    0.00e+00
474    QM1G4C04A    4    4    2.99e-06    4.69e-06    0.00e+00    2.00e-06    0.00e+00    0.00e+00
476    SM1G4C04A    4    4    2.12e-06    9.52e-07    0.00e+00    -7.98e-07    0.00e+00    0.00e+00
479    FXM1G4C04A    4    4    -1.64e-06    -1.99e-06    0.00e+00    8.60e-07    0.00e+00    0.00e+00
480    FYM1G4C04A    4    4    -1.64e-07    -2.70e-06    0.00e+00    9.47e-07    0.00e+00    0.00e+00
484    QM2G4C04A    4    4    -4.90e-06    3.47e-06    0.00e+00    -1.40e-06    0.00e+00    0.00e+00
486    SM2G4C04B    4    4    -2.91e-07    -3.35e-06    0.00e+00    4.10e-06    0.00e+00    0.00e+00
488    QM2G4C04B    4    4    -1.20e-06    -2.15e-06    0.00e+00    -6.60e-07    0.00e+00    0.00e+00
490    SM1G4C04B    4    4    2.70e-06    -1.85e-06    0.00e+00    7.53e-07    0.00e+00    0.00e+00
494    QM1G4C04B    4    4    -2.91e-06    4.91e-06    0.00e+00    -3.12e-06    0.00e+00    0.00e+00
497    CXM1G4C04B    4    4    2.58e-06    2.79e-07    0.00e+00    8.02e-07    0.00e+00    0.00e+00
498    CYM1G4C04B    4    4    1.19e-06    1.50e-06    0.00e+00    -1.43e-06    0.00e+00    0.00e+00
504    B1G5C04B    5    4    -1.36e-06    -1.20e-06    0.00e+00    2.56e-06    0.00e+00    0.00e+00
509    QL3G6C04B    6    4    3.13e-07    2.17e-06    0.00e+00    -4.81e-06    0.00e+00    0.00e+00
513    SL3G6C04B    6    4    7.81e-07    9.48e-07    0.00e+00    -3.17e-07    0.00e+00    0.00e+00
516    CXL2G6C04B    6    4    1.86e-07    4.80e-07    0.00e+00    2.23e-06    0.00e+00    0.00e+00
517    CYL2G6C04B    6    4    -4.63e-06    1.48e-06    0.00e+00    2.10e-08    0.00e+00    0.00e+00
519    QL2G6C04B    6    4    -1.77e-06    -4.27e-06    0.00e+00    -9.40e-07    0.00e+00    0.00e+00
521    SL2G6C04B    6    4    1.68e-06    4.53e-07    0.00e+00    -2.19e-06    0.00e+00    0.00e+00
524    CXL1G6C04B    6    4    1.05e-06    4.49e-06    0.00e+00    3.03e-06    0.00e+00    0.00e+00
525    CYL1G6C04B    6    4    -3.43e-07    -3.64e-06    0.00e+00    1.66e-06    0.00e+00    0.00e+00
527    QL1G6C04B    6    4    3.35e-06    -1.65e-06    0.00e+00    3.26e-06    0.00e+00    0.00e+00
531    SL1G6C04B    6    4    2.46e-06    -2.98e-06    0.00e+00    -2.39e-06    0.00e+00    0.00e+00
536    FXL1G1C05A    1    5    -2.19e-06    5.13e-08    0.00e+00    -5.57e-07    0.00e+00    0.00e+00
537    FYL1G1C05A    1    5    -2.36e-06    4.78e-06    0.00e+00    3.59e-08    0.00e+00    0.00e+00
545    FXL2G1C05A    1    5    4.94e-06    1.54e-06    0.00e+00    -6.06e-07    0.00e+00    0.00e+00
546    FYL2G1C05A    1    5    -2.12e-06    -2.67e-06    0.00e+00    -9.11e-07    0.00e+00    0.00e+00
550    SL1G2C05A    2    5    4.85e-07    -3.15e-08    0.00e+00    1.01e-06    0.00e+00    0.00e+00
554    QL1G2C05A    2    5    -2.34e-06    -4.24e-06    0.00e+00    3.06e-06    0.00e+00    0.00e+00
557    CXL1G2C05A    2    5    -1.20e-06    2.36e-06    0.00e+00    -3.42e-07    0.00e+00    0.00e+00
558    CYL1G2C05A    2    5    -2.45e-06    4.31e-06    0.00e+00    3.00e-06    0.00e+00    0.00e+00
560    SL2G2C05A    2    5    -8.56e-07    -2.38e-06    0.00e+00    2.44e-06    0.00e+00    0.00e+00
562    QL2G2C05A    2    5    -7.91e-07    1.20e-06    0.00e+00    3.66e-06    0.00e+00    0.00e+00
565    CXL2G2C05A    2    5    -6.26e-08    3.28e-07    0.00e+00    7.88e-07    0.00e+00    0.00e+00
566    CYL2G2C05A    2    5    4.39e-06    4.71e-06    0.00e+00    -4.86e-06    0.00e+00    0.00e+00
568    SL3G2C05A    2    5    -4.84e-06    4.70e-06    0.00e+00    2.64e-06    0.00e+00    0.00e+00
572    QL3G2C05A    2    5    6.30e-07    1.83e-06    0.00e+00    2.70e-06    0.00e+00    0.00e+00
577    B1G3C05A    3    5    2.52e-06    -3.38e-06    0.00e+00    -1.77e-06    0.00e+00    0.00e+00
581    SQMG4C05A    4    5    3.02e-06    -2.84e-07    0.00e+00    -4.05e-06    0.00e+00    0.00e+00
582    CXMG4C05A    4    5    3.28e-06    -1.27e-06    0.00e+00    2.74e-06    0.00e+00    0.00e+00
583    CYMG4C05A    4    5    2.37e-06    2.73e-06    0.00e+00    -4.91e-06    0.00e+00    0.00e+00
585    QM1G4C05A    4    5    2.02e-07    1.20e-06    0.00e+00    2.68e-06    0.00e+00    0.00e+00
587    SM1G4C05A    4    5    9.60e-07    -2.34e-06    0.00e+00    2.95e-06    0.00e+00    0.00e+00
590    FXM1G4C05A    4    5    -3.47e-06    -6.11e-07    0.00e+00    1.09e-06    0.00e+00    0.00e+00
591    FYM1G4C05A    4    5    -1.62e-06    -4.40e-07    0.00e+00    -3.77e-06    0.00e+00    0.00e+00
595    QM2G4C05A    4    5    3.01e-07    -3.17e-06    0.00e+00    -2.62e-06    0.00e+00    0.00e+00
597    SM2G4C05B    4    5    2.89e-06    -3.40e-06    0.00e+00    2.33e-06    0.00e+00    0.00e+00
599    QM2G4C05B    4    5    -4.97e-06    2.07e-06    0.00e+00    -9.72e-07    0.00e+00    0.00e+00
601    SM1G4C05B    4    5    3.66e-06    4.82e-06    0.00e+00    9.37e-07    0.00e+00    0.00e+00
605    QM1G4C05B    4    5    -4.06e-06    2.57e-06    0.00e+00    -2.91e-06    0.00e+00    0.00e+00
608    CXM1G4C05B    4    5    1.35e-06    1.83e-06    0.00e+00    -4.83e-06    0.00e+00    0.00e+00
609    CYM1G4C05B    4    5    4.08e-06    -1.85e-06    0.00e+00    -1.23e-06    0.00e+00    0.00e+00
615    B1G5C05B    5    5    1.06e-06    -4.12e-07    0.00e+00    2.77e-06    0.00e+00    0.00e+00
620    CXH2G6C05B    6    5    1.04e-06    -1.29e-06    0.00e+00    -4.90e-07    0.00e+00    0.00e+00
621    CYH2G6C05B    6    5    -3.28e-06    -1.09e-07    0.00e+00    6.64e-07    0.00e+00    0.00e+00
623    SH4G6C05B    6    5    -8.15e-07    -1.29e-06    0.00e+00    -4.01e-06    0.00e+00    0.00e+00
627    QH3G6C05B    6    5    -1.81e-06    2.12e-06    0.00e+00    -1.42e-06    0.00e+00    0.00e+00
629    SH3G6C05B    6    5    5.29e-07    -2.18e-06    0.00e+00    -1.93e-06    0.00e+00    0.00e+00
631    QH2G6C05B    6    5    4.66e-06    -2.29e-07    0.00e+00    1.51e-06    0.00e+00    0.00e+00
634    CXH1G6C05B    6    5    -1.47e-06    1.61e-06    0.00e+00    -1.91e-06    0.00e+00    0.00e+00
635    CYH1G6C05B    6    5    3.64e-06    -1.19e-06    0.00e+00    2.25e-06    0.00e+00    0.00e+00
